;Left Ear;Left Elbow;Left Eye;Left Foot;Left Hand;Left Hip;Left Knee;Left Shoulder;Neck;Nose;Right Ear;Right Elbow;Right Eye;Right Foot;Right Hand;Right Hip;Right Knee;Right Shoulder;source;Forward_leaning;speed (km/h)
141;0.034115493;0.032565484;0.036943437;0.070395015;0.072658859;0.025277492;0.041521146;0.030885232;0.03522891;0.031253792;0.026869351;0.032665523;0.042170206;0.070563817;0.069476405;0.022747455;0.049551668;0.038714819;20180404_192559;72.12826074;18.26953226
142;0.041201594;0.029345619;0.02890842;0.072807203;0.078611141;0.025276293;0.040081083;0.036180082;0.034828003;0.026567438;0.038924906;0.03244512;0.043340964;0.079507746;0.070986872;0.025579759;0.041321128;0.041007282;20180404_192559;77.18945028;19.40450897
143;0.03781201;0.01226039;0.042538954;0.014150636;0.043525859;0.018842987;0.014748931;0.020205741;0.022358735;0.025402843;0.02897531;0.015634373;0.043022728;0.019089431;0.04523576;0.01572411;0.014338714;0.022802102;20180404_192559;90.31188603;3.185355725
144;0.039581859;0.056022041;0.038257231;0.067502801;0.062061671;0.035582539;0.065378999;0.030935852;0.030097611;0.05267502;0.022540671;0.064007149;0.031157308;0.072428371;0.05295078;0.039579103;0.072751264;0.026520645;20180404_192703;75.75392732;21.74752964
145;0.062037319;0.058606926;0.063591233;0.07088552;0.064900852;0.046183518;0.065327936;0.023411827;0.022743834;0.068325439;0.050396333;0.060528522;0.040115008;0.063200683;0.075515911;0.049578078;0.065191812;0.02600182;20180404_192703;75.62587409;20.17719843
146;0.040772756;0.068457937;0.051758415;0.077724567;0.070645998;0.054103425;0.07692172;0.040631725;0.040014067;0.059076673;0.026105971;0.087051821;0.03643607;0.077037859;0.075513938;0.051516813;0.077919072;0.043724086;20180404_192703;70.94200706;20.65251277
147;0.048506812;0.056400403;0.046627872;0.068592134;0.048956259;0.036365078;0.063942472;0.033745838;0.028025059;0.056386364;0.041451351;0.053555622;0.041414657;0.064526066;0.070649323;0.042169712;0.064049673;0.026236624;20180404_192703;75.09695584;20.22834349
148;0.039485075;0.042174333;0.041619294;0.067728672;0.083802475;0.032674076;0.073060968;0.058714993;0.061276726;0.030502105;0.021659102;0.042504864;0.031573932;0.073838486;0.054581554;0.034241901;0.068808918;0.062944715;20180404_192754;75.5849176;22.47880895
149;0.037921219;0.035280523;0.02506526;0.073312951;0.07225198;0.033400864;0.062622688;0.055703642;0.056023474;0.023153641;0.024879358;0.046991731;0.025799301;0.064973931;0.084583983;0.03516606;0.063594958;0.054499551;20180404_192754;78.25828504;20.73035674
150;0.034535218;0.034204071;0.042021632;0.059549015;0.084448995;0.027372575;0.044202984;0.053396077;0.052490126;0.027557797;0.030092438;0.033072051;0.039264489;0.063579761;0.069728355;0.029658495;0.051684619;0.058573806;20180404_192754;78.79421404;19.76064042
151;0.031595518;0.034645494;0.017536021;0.075955917;0.060332023;0.033608429;0.067912105;0.046355855;0.045733662;0.017974178;0.019619171;0.042579968;0.020622644;0.066813584;0.078489893;0.035181409;0.066978406;0.045488709;20180404_192754;74.9512743;20.65814466
152;0.02974838;0.035827286;0.032664569;0.052921418;0.058374671;0.016200673;0.051981295;0.03775816;0.043140405;0.025814213;0.012082684;0.033858637;0.034630233;0.052541903;0.039701166;0.015050913;0.050997096;0.048170287;20180404_192849;70.3392621;20.57708859
153;0.029095553;0.042809853;0.027390935;0.060339299;0.086544956;0.025363184;0.045085107;0.050200565;0.051377979;0.027080787;0.02475054;0.04791389;0.025511979;0.065645552;0.072577068;0.026525959;0.044244209;0.054320361;20180404_192849;72.77361108;19.34009035
154;0.03790872;0.032269527;0.04355457;0.063797039;0.058278656;0.022654514;0.038390605;0.044609537;0.051249508;0.036306794;0.027635016;0.038236997;0.038567713;0.064193122;0.056901424;0.023318594;0.043672854;0.053726189;20180404_192849;72.7367825;18.46771847
155;0.041199431;0.039059197;0.031639618;0.064670265;0.084803128;0.022326995;0.048417286;0.038822721;0.036616311;0.020838984;0.029602146;0.032342572;0.028441274;0.071498961;0.068743775;0.026278979;0.046500203;0.042637758;20180404_192849;73.06476354;19.24522403
156;0.05114421;0.061918887;0.059284434;0.06987064;0.068696111;0.04325565;0.06231202;0.036433128;0.034265908;0.070472435;0.013859405;0.071922539;0.050474548;0.077326851;0.066324403;0.047088914;0.067129695;0.034189318;20180404_192938;73.38052545;21.61172035
157;0.057806574;0.062201352;0.066982712;0.070876586;0.06636145;0.044738163;0.066152556;0.028978252;0.027515099;0.068466752;0.037722861;0.052353145;0.03955969;0.063538543;0.062309984;0.040021472;0.069652111;0.02741689;20180404_192938;80.14639958;20.65555476
158;0.055150925;0.069833586;0.041664972;0.068421039;0.098364747;0.049303695;0.065363238;0.035777794;0.034237866;0.066774627;0.027238089;0.079524161;0.037142374;0.078596651;0.058410909;0.051130977;0.076601091;0.035215947;20180404_192938;74.61441821;20.22710442
159;0.046333151;0.062179404;0.063595902;0.076501863;0.0680055;0.045436195;0.066918408;0.028883747;0.030800117;0.065509378;0.045816784;0.058302431;0.047522836;0.068367298;0.072899355;0.049668033;0.07212691;0.028204597;20180404_192938;80.7436182;21.00339553
160;0.031998213;0.069443905;0.039926237;0.073794923;0.099577905;0.046846449;0.057563929;0.049748943;0.049532644;0.038089715;0.022577994;0.085549787;0.031491762;0.075209129;0.089886966;0.045906322;0.063832081;0.053942793;20180404_193236;71.19846057;20.65936977
161;0.032863053;0.058572218;0.036456534;0.063521342;0.08005381;0.038034256;0.058270816;0.037964607;0.037899135;0.039120736;0.024146615;0.049847776;0.028208718;0.069919166;0.071819519;0.040339763;0.052225574;0.034195832;20180404_193236;69.34047882;21.43644917
162;0.034313931;0.058468035;0.041972248;0.06903183;0.080158983;0.037680391;0.055588094;0.047175639;0.042493181;0.042439991;0.023274015;0.076249717;0.035631279;0.07107882;0.080166878;0.050609138;0.05969594;0.037623193;20180404_193236;72.36307918;20.39387078
163;0.032136818;0.062941388;0.046676616;0.066899918;0.091411976;0.044909125;0.058976843;0.032482938;0.02764302;0.036638116;0.023897379;0.050274668;0.026638675;0.076309916;0.078082508;0.043595661;0.056427488;0.024404733;20180404_193236;69.24244504;20.60654007
164;0.076607591;0.067199967;0.078393833;0.069233698;0.092622394;0.048546295;0.055536723;0.039980747;0.04060212;0.07838844;;0.069381358;0.07458849;0.083478193;0.074114526;0.058036513;0.076173084;0.032473714;20180404_193356;67.6897004;22.63667366
165;0.089713772;0.081126937;0.016068423;0.059169079;0.099971762;0.036279505;0.044376976;0.038600001;0.032930404;0.094005466;0.084088358;0.069172546;0.094898417;0.067994667;0.088026624;0.033783287;0.055631202;0.03303233;20180404_193356;63.97344323;20.53238102
166;0.084693099;0.067801162;0.091451218;0.071759136;0.100585818;0.047543548;0.068468838;0.038308978;0.026511756;0.090874134;0.01698055;0.06385602;0.081737011;0.08361055;0.072070798;0.048071829;0.074132714;0.030590734;20180404_193356;68.38926378;20.38536491
167;0.059678477;0.066878227;0.076333581;0.063436589;0.093577664;0.039948038;0.050343302;0.032248604;0.028945937;0.071213646;0.066591626;0.051851601;0.071621291;0.061170229;0.087289345;0.039912294;0.060116994;0.027851433;20180404_193356;66.11144633;20.72075729
168;0.044609181;0.03410555;0.044959992;0.098318259;0.086278052;0.048734464;0.071166163;0.031853107;0.036114505;0.039649735;0.016404501;0.038225971;0.052370163;0.091693275;0.080368003;0.046828161;0.060431656;0.034185058;20180404_193444;73.49854109;20.97012186
169;0.046342772;0.047931862;0.035894057;0.077215437;0.095011796;0.052300499;0.06368754;0.025482646;0.024217955;0.042107936;0.032818451;0.039120269;0.043992576;0.099508263;0.091256753;0.049752227;0.063266155;0.024919082;20180404_193444;66.47886669;20.54240112
170;0.046135626;0.037863663;0.05060434;0.085335723;0.077597225;0.048700532;0.064529128;0.033154941;0.037428184;0.051642991;0.047733978;0.040172732;0.048755428;0.087739744;0.093095448;0.050299971;0.060511742;0.039823662;20180404_193444;72.69190893;19.90602618
171;0.041145752;0.039333739;0.056099988;0.084225751;0.081826805;0.05035643;0.067875702;0.036238909;0.03738227;0.047892975;0.03467542;0.040875882;0.04565668;0.095028269;0.096700347;0.048036253;0.06401518;0.037658775;20180404_193444;69.44299383;19.78141804
172;0.044947558;0.058958661;0.049593036;0.074639939;0.102969671;0.043704236;0.067635943;0.055357798;0.056654759;0.051381437;0.028769636;0.060179519;0.03750914;0.073897646;0.081768419;0.053750443;0.063784181;0.054291211;20180404_193535;75.88604897;20.72654945
173;0.042637135;0.046024525;0.030399845;0.059865016;0.086836485;0.032060576;0.034135022;0.046841258;0.045962628;0.030488272;0.034150426;0.033588309;0.032241114;0.077006243;0.06417546;0.03397037;0.042392946;0.051679036;20180404_193535;69.28662868;21.51754801
174;0.057145017;0.063325117;0.069318354;0.068532395;0.104920543;0.046326917;0.053415567;0.061112649;0.061965254;0.052531676;0.042440533;0.069784955;0.05079149;0.075842647;0.087655795;0.05260812;0.057065167;0.0646674;20180404_193535;70.41967242;20.32640416
175;0.037665867;0.048560317;0.044787346;0.076144439;0.08373679;0.032965098;0.051124626;0.050566288;0.048728843;0.041284222;0.042577299;0.037168914;0.0419274;0.089394481;0.080916435;0.032552244;0.05339405;0.044742849;20180404_193535;67.30433199;20.95635701
176;0.062359456;0.064196756;0.077438212;0.065227173;0.09558025;0.043700931;0.058909647;0.052621201;0.043844854;0.078574143;0.092824566;0.076220369;0.07385092;0.090317868;0.089820026;0.03924893;0.071066603;0.035679422;20180404_193621;71.39623096;22.51263064
177;;0.080811194;0.113017681;0.044756889;0.107918149;0.037596097;0.032212753;0.044603043;0.039981326;0.09743397;0.065428279;0.064981354;0.050336684;0.080746094;0.096507101;0.037523513;0.055980452;0.036409564;20180404_193621;63.41115048;20.831347
178;0.092961756;0.077435448;0.101148962;0.056556265;0.113110059;0.03660385;0.048399375;0.060908116;0.04085878;0.093395393;0.111811736;0.083486128;0.073920964;0.075206741;0.118945135;0.046188238;0.061437775;0.041040713;20180404_193621;75.05254969;19.54172917
179;0.071441493;0.074333208;0.07569438;0.059445097;0.098716748;0.034246639;0.05868435;0.040277244;0.03336486;0.073288326;0.052183293;0.054370915;0.061957935;0.074970647;0.102540487;0.03596775;0.067554117;0.02952255;20180404_193621;63.86812987;20.03504407
180;0.044243105;0.035876559;0.049833678;0.087171815;0.086226122;0.04842943;0.068351973;0.044058954;0.042690082;0.049114021;0.057875886;0.046139221;0.040544505;0.09037483;0.073891073;0.04982965;0.061785212;0.042119354;20180404_193711;70.13095984;20.30042469
181;0.051619194;0.046382129;0.035852219;0.072060735;0.084917749;0.055761757;0.058921258;0.029519819;0.032408072;0.055591562;0.041722217;0.041872797;0.051372233;0.09816084;0.083335618;0.047395458;0.052216372;0.033921059;20180404_193711;66.79684884;21.06499409
182;0.043083754;0.039118132;0.050623395;0.086357291;0.086969793;0.052673367;0.069865428;0.038115131;0.038302483;0.050046091;0.043096543;0.044822321;0.048229966;0.086323688;0.08092067;0.048077496;0.064127231;0.037858353;20180404_193711;70.87471448;20.39295079
183;0.053585223;0.045878188;0.03825325;0.087110253;0.087010961;0.05337776;0.061254957;0.031893197;0.032982357;0.041810774;0.032952439;0.040661847;0.042146589;0.10194966;0.084843925;0.045423495;0.053890468;0.034434258;20180404_193711;70.67934901;20.56773039
184;0.036472264;0.039003752;0.040876691;0.045278123;0.087319271;0.029078117;0.030238266;0.03328075;0.03349454;0.039717097;0.051771391;0.040919876;0.040282772;0.038582363;0.072295575;0.028874021;0.04040872;0.031315975;jeroengeurds_25081990_176_73_16500;73.1519205;23.65484359
185;;0.048729891;0.031889466;0.033950725;0.071897014;0.021488057;0.027826183;0.031156345;0.027743342;0.042420889;0.032338592;0.028257451;0.036422501;0.040954086;0.080254863;0.021377815;0.029990073;0.028239708;jeroengeurds_25081990_176_73_16500;68.87946341;21.53741379
186;0.041453515;0.038142638;0.044560885;0.039455459;0.060064431;0.028576178;0.036883688;0.033323938;0.037100531;0.049289133;;0.039901677;0.04545907;0.04893271;0.088297914;0.030908811;0.033481808;0.034384935;jeroengeurds_25081990_176_73_16500;72.12451182;22.84942998
187;0.036952135;0.056512769;0.028023402;0.048520421;0.094986054;0.027069723;0.030230139;0.031153228;0.028452669;0.029348402;0.025321733;0.042215228;0.032235651;0.056101913;0.116249637;0.023916252;0.033644946;0.029446047;jeroengeurds_25081990_176_73_16500;76.9728222;21.94286028
188;0.022727601;0.027119943;0.022136673;0.033545185;0.051021233;0.025226429;0.035216612;0.017061392;0.017927599;0.025138618;0.01448482;0.020642357;0.029966902;0.044573265;0.048170338;0.027430845;0.034151616;0.016981477;jeroenkrol_28121995_184_80_16500;74.7262436;20.89816161
189;0.012939203;0.020841277;0.016387829;0.036773093;0.050251148;0.018586892;0.042674542;0.01716564;0.013252915;0.016340605;0.01127828;0.02223619;0.018766326;0.03625172;0.044787257;0.024617985;0.037612311;0.019849722;jeroenkrol_28121995_184_80_16500;74.81482483;19.74697835
190;0.028470602;0.024622585;0.029452504;0.024605716;0.043655928;0.022539089;0.037865758;0.022251636;0.025247507;0.025106124;0.012937578;0.032633706;0.038728418;0.033012794;0.05166488;0.022305685;0.034393695;0.02596382;jeroenkrol_28121995_184_80_16500;70.32731408;18.43447224
191;0.011128316;0.021064574;0.013007986;0.026491209;0.047988983;0.01798465;0.043572381;0.012535614;0.01413408;0.019116957;0.013617364;0.026645588;0.019104554;0.038728331;0.056940572;0.020554607;0.040332305;0.013798113;jeroenkrol_28121995_184_80_16500;73.48808286;20.21086808
192;0.046335474;0.031839475;0.052954977;0.034103523;0.070032472;0.023868661;0.032160661;0.036067491;0.043586406;0.056941912;;0.051707206;0.060618907;0.041036465;0.069866503;0.026607093;0.035303924;0.044641102;michael_30121992_186_90_16500;64.2345004;23.98197407
193;0.055237548;0.043659638;0.061213595;0.024974634;0.059126261;0.028421701;0.028250749;0.037212114;0.026388009;0.055717911;0.048612767;0.035557523;0.055915045;0.048068354;0.050771502;0.019186433;0.031007155;0.02439276;michael_30121992_186_90_16500;65.79355967;22.88962773
194;0.047655948;0.039941416;0.069079221;0.035069789;0.069183567;0.023307439;0.037567443;0.040794119;0.049418379;0.076063014;;0.057832209;0.082752397;0.03833814;0.068808985;0.029059369;0.038399836;0.052459553;michael_30121992_186_90_16500;67.1878717;22.50776127
195;0.068722791;0.045176116;0.072324377;0.030903706;0.073323684;0.026030838;0.035952007;0.039493952;0.02968186;0.053964164;0.05095624;0.036527248;0.067858157;0.050538058;0.049130454;0.024915825;0.032091916;0.02969834;michael_30121992_186_90_16500;65.80666206;22.62925133
196;0.027435131;0.041194334;0.03159416;0.033005702;0.064524863;0.026540145;0.037192647;0.02463741;0.031720524;0.035489141;0.034701896;0.054041113;0.035562702;0.033833264;0.066074504;0.030971706;0.037770165;0.039059096;miel_01111993_170_68_16500;64.2491421;22.79456743
197;0.036352065;0.04780661;0.038189699;0.039469056;0.064793977;0.027799816;0.042715771;0.034973263;0.024041702;0.03934454;0.024776281;0.061011224;0.031390851;0.05427193;0.087311306;0.024971947;0.041613613;0.030588017;miel_01111993_170_68_16500;57.50225295;22.32304359
198;0.03351323;0.031150002;0.038212947;0.038675713;0.07519118;0.031721024;0.041004282;0.028194829;0.030235463;0.04057707;0.059521769;0.047922718;0.032419128;0.034558233;0.057044071;0.038882406;0.041215169;0.047232179;miel_01111993_170_68_16500;63.28938487;21.60193627
199;0.049506153;0.033751478;0.034628717;0.037559324;0.078648818;0.030110901;0.043590357;0.032092116;0.018989084;0.035730792;0.029567861;0.051963599;0.029507469;0.065792366;0.084147074;0.036636266;0.041008295;0.024725912;miel_01111993_170_68_16500;63.00544918;21.98467951
200;0.018477963;0.04353832;0.018958763;0.043180732;0.086706936;0.029879793;0.041903544;0.028996151;0.029576657;0.020907237;0.027128016;0.053517695;0.031723076;0.046467441;0.211099845;0.028491634;0.03787149;0.029318799;nickblok_21101993_186_85_16500;70.41171992;22.61278513
201;0.020969404;0.053460126;0.020923412;0.039894255;0.136822521;0.031471029;0.036290854;0.026811946;0.022400906;0.027941821;0.019710292;0.034169812;0.020485988;0.059397345;0.093629555;0.032725285;0.028893887;0.024531538;nickblok_21101993_186_85_16500;74.31512262;20.91185922
202;0.016586758;0.045359447;0.023951755;0.049621234;0.11008939;0.028923212;0.053668925;0.026264411;0.025986198;0.025437883;0.026906847;0.048128417;0.024683693;0.055609528;0.214846561;0.028682835;0.033243045;0.018727078;nickblok_21101993_186_85_16500;75.5545253;20.72641706
203;0.022316102;0.049523536;0.025502132;0.039021099;0.116368357;0.027287004;0.038687354;0.028231756;0.028694999;0.023543698;0.02236787;0.040515652;0.026804314;0.0580566;0.130131689;0.027945755;0.034124325;0.027769891;nickblok_21101993_186_85_16500;76.36122778;20.23413647
204;0.033300951;0.035045541;0.042683264;0.053315454;0.069234172;0.02336484;0.039447155;0.026262217;0.029047398;0.034902861;;0.046085065;0.04904212;0.041444044;0.070576896;0.024217138;0.042730946;0.029263077;nickbrand_31071995_195_78_16500;70.8026058;22.88205531
205;;0.043030119;0.033418572;0.05719642;0.076149733;0.033191603;0.03864418;0.035986851;0.035923848;0.028599279;0.029423931;0.02878189;0.03345915;0.046963428;0.069418866;0.025694345;0.034618505;0.030307662;nickbrand_31071995_195_78_16500;69.53302696;21.06133669
206;0.03580543;0.039637527;0.038677198;0.054546833;0.079725957;0.025183043;0.037002148;0.022108993;0.031909037;0.035794413;;0.044393321;0.049421831;0.052280529;0.068231554;0.024326349;0.039291628;0.031913042;nickbrand_31071995_195_78_16500;69.60734994;20.76175777
207;0.007925461;0.037356319;0.042331861;0.043159542;0.072838102;0.030618889;0.041565734;0.033605072;0.030814682;0.048950364;0.038392668;0.033443488;0.044550048;0.054432498;0.053508339;0.027029532;0.041221714;0.030734259;nickbrand_31071995_195_78_16500;75.23950245;19.86613072
208;0.016351515;0.026510412;0.017227468;0.037824001;0.092951007;0.015081085;0.021294566;0.017654199;0.01456853;0.013783941;0.020170439;0.031784013;0.021127238;0.042332164;0.070889609;0.021498725;0.019115994;0.020713053;rob_21071992_180_78_16500;75.23949303;22.67820852
209;0.022581288;0.032684011;0.025539775;0.049090064;0.063894014;0.018381028;0.030528149;0.020959842;0.019419169;0.027700539;0.023822435;0.028630873;0.027830636;0.033279093;0.061871256;0.01973378;0.026097737;0.019284964;rob_21071992_180_78_16500;74.05113406;20.1345976
210;0.022788843;0.0258749;0.020056467;0.040270374;0.075359077;0.018351834;0.021703566;0.018062193;0.016694625;0.021662338;0.018688395;0.028347901;0.023857228;0.039395601;0.072717277;0.018816083;0.021867297;0.02171581;rob_21071992_180_78_16500;73.72727875;20.9087612
211;0.020238474;0.035092769;0.016675667;0.057225482;0.057322506;0.018929327;0.028047024;0.015893048;0.012345458;0.020439219;0.017358291;0.02609121;0.017832328;0.036166292;0.06342861;0.017278594;0.025710684;0.016877604;rob_21071992_180_78_16500;75.03478952;21.70255464
